gender,age_range,occupation,0
M,25-34,other or not specified,206
M,25-34,programmer,164
M,25-34,sales/marketing,97
M,25-34,scientist,58
M,25-34,self-employed,49
M,25-34,technician/engineer,180
M,25-34,tradesman/craftsman,21
M,25-34,unemployed,11
M,25-34,writer,89
M,35-44,K-12 student,1
M,35-44,academic/educator,77
M,35-44,artist,28
M,35-44,clerical/admin,16
M,35-44,college/grad student,8
M,35-44,customer service,18
M,35-44,doctor/health care,35
M,35-44,executive/managerial,177
M,35-44,farmer,2
M,35-44,homemaker,1
M,35-44,lawyer,26
M,35-44,other or not specified,92
M,35-44,programmer,71
M,35-44,retired,5
M,35-44,sales/marketing,53
M,35-44,scientist,22
M,35-44,self-employed,43
M,35-44,technician/engineer,116
M,35-44,tradesman/craftsman,16
M,35-44,unemployed,6
M,35-44,writer,42
M,45-49,academic/educator,43
M,45-49,artist,15
M,45-49,clerical/admin,7
M,45-49,college/grad student,1
M,45-49,customer service,5
M,45-49,doctor/health care,12
M,45-49,executive/managerial,58
M,45-49,farmer,1
M,45-49,lawyer,15
M,45-49,other or not specified,41
M,45-49,programmer,23
M,45-49,retired,5
M,45-49,sales/marketing,22
M,45-49,scientist,10
M,45-49,self-employed,28
M,45-49,technician/engineer,52
M,45-49,tradesman/craftsman,9
M,45-49,unemployed,2
M,45-49,writer,12
M,50-55,academic/educator,43
M,50-55,artist,9
M,50-55,clerical/admin,6
M,50-55,college/grad student,1
M,50-55,customer service,4
M,50-55,doctor/health care,26
M,50-55,executive/managerial,64
M,50-55,farmer,1
M,50-55,lawyer,14
M,50-55,other or not specified,28
M,50-55,programmer,18
M,50-55,retired,22
M,50-55,sales/marketing,15
M,50-55,scientist,8
M,50-55,self-employed,35
M,50-55,technician/engineer,32
M,50-55,tradesman/craftsman,7
M,50-55,unemployed,2
M,50-55,writer,15
M,56+,K-12 student,1
M,56+,academic/educator,39
M,56+,artist,6
M,56+,clerical/admin,5
M,56+,customer service,1
M,56+,doctor/health care,11
M,56+,executive/managerial,35
M,56+,farmer,2
M,56+,lawyer,5
M,56+,other or not specified,20
M,56+,programmer,5
M,56+,retired,75
M,56+,sales/marketing,12
M,56+,scientist,5
M,56+,self-employed,19
M,56+,technician/engineer,22
M,56+,tradesman/craftsman,3
M,56+,unemployed,2
M,56+,writer,10
M,Under 18,K-12 student,100
M,Under 18,academic/educator,3
M,Under 18,artist,1
M,Under 18,college/grad student,3
M,Under 18,executive/managerial,1
M,Under 18,farmer,1
M,Under 18,lawyer,1
M,Under 18,other or not specified,18
M,Under 18,programmer,1
M,Under 18,retired,1
M,Under 18,sales/marketing,2
M,Under 18,technician/engineer,2
M,Under 18,unemployed,10
